اب	أب,آب,أَبّ,أَب,إِبّ
فاقوس	قَوِس-َ,قَوَّس
فال	إِل,آل,وَلِي-ِ,فال-ِ,فال,ال
فالة	أَلَّه,لَهِي-َ,آل,وَلِه-َِ,لَها,أَلْهَى,وَلِي-ِ,إِلٰه,لَهَّى,آلَة
فالق	فالِق,لَقِي-َ,أَلَق-ِ,أَلَق,أَلْقَى,لاق-ِ
فامية	أُمِّيّ,أَماه,أُمِّيَّة
فامين	أَمِين,آمِين
فاو	أَو,فاو,أُو
فاوة	أَوَّه,وَهِي-َ,أَوْهَى
فايا	أَيّ,آيا
فائد	أَدّ,وَأَد
فائش	NEWMORPH
فب	ب
فتاخ	فَتْخَة
فتاق	تاق,فِتاق
فتق	فَتَق,فَتَّق,فَتْق,وَقَى-ِ
فتك	فَتّ,تَكّ,فَتْك,وَكَى-ِ,فَتَك,فات,تَكّ-ِ
فج	ج,فَجّ
فجكش	NEWMORPH
فحفح	NEWMORPH
فحل	فَحْل,حِلّ,حَلّ-ِ,حَلّ
فحلين	حَلَى,حَلَّى,حَلِي-َ,حَلّ
فخ	خ,فَخّ
فخراباذ	NEWMORPH
فدان	دانِي,دان-ِ,فَدّان
فدك	دَكّ
فديك	دِيك
فذايا	NEWMORPH
فذورد	NEWMORPH
فذيانكث	NEWMORPH
فراب	راب-ِ,راب,رابّ
فراس	رَأْس,راسِي
فراشا	راش,فَرّاش,فِراش
فراشة	راش,فَرّاش,فِراش,فَراشَة
فراص	NEWMORPH
فراض	راض,راضِي
فراغ	راغ,فَراغ
فراغان	NEWMORPH
فراقد	راقِد
فران	ران-ِ,فَرّان
فراهان	NEWMORPH
فراهينان	NEWMORPH
فراوة	NEWMORPH
فربر	NEWMORPH
فربيا	رَبَّى
فربيط	NEWMORPH
فرتاج	رِتاج
فرتنى	فَرَّى,فَرَى-ِ,فار,فَرّ-ِ
فرج	رَجّ,فَرَّج,فَرَج,فَرْج
فرجيا	رَجِي-َ
فرخشا	NEWMORPH
فرخشة	NEWMORPH
فرخوزديزه	NEWMORPH
فردة	فَرْد,رَدَّة,فَرَّد,رَدّ
فردجان	NEWMORPH
فردد	رَدَّد
فردوس	فِرْدَوْس
فردى	رَدِي-َ,فَرْد,رَدَّى,رَدَى,رَدّ,فَرْدِيّ
فرزاذ	NEWMORPH
فرزاميثن	NEWMORPH
فرزن	راز,فَرَز-ِ,رَزُن
فرزين	رَزِين
فرس	فارِسِيّ,فَرَس
فرساباذ	NEWMORPH
فرسان	فارِس,فَرَس,فَرَسان
فرشابور	NEWMORPH
فرشوط	NEWMORPH
فرط	فَرَط,فَرَّط,فَرْط
فرطس	NEWMORPH
فرطسا	NEWMORPH
فرعان	رَعْن,فَرْع
فرغان	فَرِغ
فرغانة	NEWMORPH
فرغليط	NEWMORPH
فرغول	NEWMORPH
فرفقاباذ	NEWMORPH
فرقب	رَقَب
فرقد	رَقْد,راقِد,رَقَّد,رَقَد,فَرْقَد
فرقصة	رَقْصَة,رَقَص,رَقْص,رَقَّص
فرقلس	NEWMORPH
فرقين	رَقَّى,رَقِي-َ
فرك	فَرّ,فَرَّك,فَرْك,رَكّ,فَرَك,فَرّ-ِ,رَكّ-ِ
فركان	NEWMORPH
فرمانيرداباذ	NEWMORPH
فرميشكان	NEWMORPH
فرناباذ	NEWMORPH
فرنة	رَنّ-ِ,ران-ِ,فار,رَنَّة,فُرْن
فرنداباذ	NEWMORPH
فرنداذ	NEWMORPH
فرنكد	NEWMORPH
فرنيفثان	NEWMORPH
فره	فَرِه,فَرّ,فَرّ-ِ
فرهاذان	NEWMORPH
فرهاذجرد	NEWMORPH
فرهان	رِهان,فَرِه
فروات	فَرْوَة
فرواجان	NEWMORPH
فروان	رُوان,فَرّاء
فرياب	NEWMORPH
فرياض	رِياض,رَوْضَة
فريانان	NEWMORPH
فريانة	رِيان,رَيّان
فريث	NEWMORPH
فريرة	NEWMORPH
فريزن	NEWMORPH
فريش	رَيَّش,رِيش
فريق	فَرِيق,رَيِّق,رِيق
فريقات	NEWMORPH
فريم	رَيَّم,رِئْم,رِيم
فرين	فَرَّى,فَرَى-ِ
فز	فَزّ-ِ,ز
فزان	زان-ِ,زانِي,زان
فزح	NEWMORPH
فزرانيا	NEWMORPH
فسا	فَسا
فساران	سارّ
فستجان	جانَى
فستقان	NEWMORPH
فسكرة	سَكِر-َ,سَكْرَة,سَكَّر,سُكْر,سُكَّر
فسنجان	جانَى
فسيل	سَيَّل,سَيْل,فَسِيلَة,وَلِي-ِ
فشال	شال-ِ,شال
فشتجان	NEWMORPH
فشنة	فاش-ِ,شان-ِ,شَنّ
فشيذيزه	NEWMORPH
فصيص	NEWMORPH
فطرس	طِرْس
فطيمة	فَطِيم
فعرى	عُرْوَة,عُرْي,عَرَّى,عَرِي-َ
فعمعم	NEWMORPH
فعن	عَن,عَنّ
فغانديز	NEWMORPH
فغديز	NEWMORPH
فغدين	غَدِي-َ,غَدَّى
فغر	غِرّ,فُغْرَة,غَرّ,فَغَر-َُ,أَغَرّ
فغشت	غَشّ,غَشا,غَشَّى,غُشْت
فغندرة	غُنْدُر,غَنْدَرَة
فغيطوسين	NEWMORPH
فغيفد	NEWMORPH
فقعاء	NEWMORPH
فقير	قِير,فَقِير,قَيَّر
فقيم	قِيمَة,قَيَّم,قَيِّم
فلا	فَلّ,فُلّ,فِيلّا,لا,فَلاً
فلاج	لاجّ
فلاكرد	NEWMORPH
فلام	لام,أُمّ
فلانان	فُلان,أَنان,أَنّان,أَنَى-ِ
فلتوم	تُوم
فلج	لُجّ,لَجّ-َِ,فَلَج-ِ,فَلْج,فَلَج,فَلَّج
فلجة	لُجّ,لَجَّة,لِجَة,فَلْج,فَلَج,فَلَّج
فلجرد	جَرِد,جَرْد
فلخار	NEWMORPH
فلسطين	فِلَسْطِين
فلطاح	فِلْطاح
فلفلان	فُلان
فلق	فَلَق-ِ,فَلَّق,فَلْق
فلك	فَلّ,فُلّ,لِ-,لُكّ,فَلَك,لَكّ
فليج	NEWMORPH
فليجة	جَهِي-َ
فليش	وَشَى-ِ,لَيْش
فنا	فَنّ
فناخره	نَخَر
فنجة	جَهِي-َ
فنجديه	أَجْدَى,نَجْدِيّ
فنجكان	NEWMORPH
فنجكرد	NEWMORPH
فند	نَدّ,نِدّ,فَنَّد,نَدّ-ِ,وَدَى-ِ
فندلاو	NEWMORPH
فندورج	NEWMORPH
فندوين	NEWMORPH
فنديسجان	NEWMORPH
فندين	أَدان,نَدِي-َ,نِدّ,نَدَّى,دان-ِ
فنسجان	NEWMORPH
فنك	نِك,وَكَى-ِ,فَنّ,فَنَك
فنكد	كاد-َ,نَكِد-َ,نَكْد,كاد-ِ,نَكِد,كَدَى-ِ,أَكْدَى,نَكَد,كَدّ,كَدَّى,نَكَّد
فنونى	وَنَّى,وَنِي-َ,نُون,فَنّ,نُونِيّ,فَنِي-َ
فنين	فَنِي-َ
فهرمد	NEWMORPH
فهلفهرة	NEWMORPH
فهلو	NEWMORPH
فهندجان	NEWMORPH
فوة	فُوه
فوتق	NEWMORPH
فود	وَدّ-َ,فَوْد,وُدّ
فوذان	NEWMORPH
فورارد	NEWMORPH
فوران	فَوَران
فورجرد	NEWMORPH
فورفاره	NEWMORPH
فوز	وَزّ,وَزَّة,فَوْز
فوزكرد	NEWMORPH
فوشنج	NEWMORPH
فولو	NEWMORPH
فونكه	NEWMORPH
فويدين	NEWMORPH
في	فِي,ي
فيادسون	NEWMORPH
فياض	فَيّاض
فيجكث	NEWMORPH
فيحان	NEWMORPH
فيحة	وَحَى-ِ
فيد	يَد,وَدَى-ِ
فيدة	دَهِي-َ,دَهَى-َ,دَهَّى,يَد,وَدَى-ِ
فيذوقية	NEWMORPH
فير	وَرَى-ِ,رَأَى-َ
فيروز	فَيْرُوز,راز
فيروزاباذ	NEWMORPH
فيروزان	راز
فيروزرام	NEWMORPH
فيروزسابور	NEWMORPH
فيروزقباذ	NEWMORPH
فيروزكند	NEWMORPH
فيروزكوه	NEWMORPH
فيرياب	NEWMORPH
فيشابور	NEWMORPH
فيشان	NEWMORPH
فيشة	فِيشَة,وَشَى-ِ,فِيش,شاه,شَهَّى,شَوِه-َ,فَيْش
فيشون	وَشَى-ِ,شَوَّن
فيف	وَفَى-ِ
فيفاء	فَيْفاء,أَفاء
فيق	وَقَى-ِ
فيل	فِيل,وَلِي-ِ
فيلان	فِيل,أَلان
فيمان	NEWMORPH
فين	فِين,وَنَى-ِ,يِن
فيوازجان	NEWMORPH
قابس	قابِس
قابون	NEWMORPH
قادس	قادِس
قادم	قادِم
قار	قارِي,قار,قارّ
قارات	قارَّة,قارَة
قارة	قارَّة,قارَة,قار,قارّ
قارز	NEWMORPH
قارض	قارَض,قارِض
قارعة	قارَع,قارِع,قارِعَة
قارغوان	NEWMORPH
قارونية	NEWMORPH
قاسان	NEWMORPH
قاسم	قاسَم,قاسِم
قاسيون	NEWMORPH
قاشان	NEWMORPH
قاشره	NEWMORPH
قاصرة	قاصِر
قاصرين	قاصِر
قاعس	NEWMORPH
قاعون	NEWMORPH
قاف	قاف
قاقون	NEWMORPH
قالس	NEWMORPH
قالع	NEWMORPH
قالوص	NEWMORPH
قاليقلا	NEWMORPH
قامهل	NEWMORPH
قان	قانِئ,قانِي
قانيش	NEWMORPH
قاو	NEWMORPH
قاين	NEWMORPH
قبا	قَبّ,قَبا
قباذق	NEWMORPH
قباذيان	NEWMORPH
قباقب	NEWMORPH
قبال	NEWMORPH
قبان	قَبّان,قَبّ
قبة	قَبَّة,قُبَّة,قَبّ
قبثور	NEWMORPH
قبحاطة	NEWMORPH
قبحان	NEWMORPH
قبدة	NEWMORPH
قبذاق	NEWMORPH
قبر	قَبَر,قَبْر,قُبَّر
قبراثا	NEWMORPH
قبرة	قَبَر,قَبْر,قُبَّر
قبرس	قُبْرُص,قُبْرُس
قبرونيا	NEWMORPH
قبريان	قَبْرِيّ
قبرين	قَبْر
قبش	NEWMORPH
قبط	قِبْطِيّ,قَبَّط
قبق	NEWMORPH
قبل	قَبَّل,قَبْلُ,قِبَل,قَبْلَ,قَبِل-َ
قبلة	قَبَّل,قِبْلَة,قُبْلَة,قِبَل,قَبْلَ,قَبِل-َ
قبلى	قَبَلِيّ,قِبْلِيّ,قِبَل,قَبْلَ,قَبْلِيّ
قبودية	NEWMORPH
قبيس	NEWMORPH
قبيلا	قَبِيل
قبين	قَبَّى,قَبّ
قتات	قَتّات
قتاد	قَتاد
قتائد	NEWMORPH
قتائدات	NEWMORPH
قتائدة	NEWMORPH
قتبان	قَتَب
قتندة	NEWMORPH
قجنجمة	NEWMORPH
قحقح	NEWMORPH
قداح	قِدْح,قَدّاح
قداس	قُدّاس
قدام	قادِم,قُدّامَ,قُدّام
قدة	قَدّ,قُدّ,قِدَّة,قِدّ
قدس	قُدْس,قُدُس,قَدُس,قَدَّس
قدقد	NEWMORPH
قدقداء	NEWMORPH
قدم	قَدِم-َ,قَدَم,قَدُوم,قَدَّم
قدوم	قادِم,قَدُّوم,قُدُوم,قَدُوم
قدومى	قادِم,قَدُّوم,قَدُّومِي,قُدُوم,قَدُوم
قديد	قَدِيد
قديس	قِدِّيس
قذاران	NEWMORPH
قر	قَرّ-َِ,قَرّ
قراب	قِراب,قَرّاب
قرابين	قُرْبان,قَرّاب
قرات	NEWMORPH
قراح	قَراح
قراحصار	NEWMORPH
قرادد	NEWMORPH
قراديس	NEWMORPH
قرار	قَرار
قراس	NEWMORPH
قراص	قُرّاص
قراضة	قَرّاضَة,قُراضَة
قراضم	NEWMORPH
قراضية	NEWMORPH
قراف	NEWMORPH
قراقر	قَرْقَرَة
قراقرة	قَرْقَرَة
قراقري	قَرْقَرَة
قران	قِران
قراوى	NEWMORPH
قرب	قِراب,قُرْب,قِرْبَة,قَرَّب,قَرِب-َ,قَرُب,قُرْبَ
قرباقة	NEWMORPH
قربة	قِراب,قُرْب,قِرْبَة,قَرَّب,قُرْبَة,قَرِب-َ,قَرُب,قُرْبَ
قربق	NEWMORPH
قربى	قِراب,قُرْبَى,قُرْب,قِرْبَة,قِرْبِيّ,قُرْبَ
قربيط	NEWMORPH
قرتا	قَرّ-َِ,قَرَت,قَرَى-ِ,قَرَت-ِ,قَرا
قرتان	NEWMORPH
قرتوه	قَرَت-ِ
قرتيا	NEWMORPH
قرج	NEWMORPH
قرح	قَرِح,قَرْح,قَرْحَة,قَرِح-َ,قَرَح-َ,قَرَّح
قرحان	قَرِح
قرحتاء	NEWMORPH
قرحى	قَرِح,قَرْح,قَرْحَة
قرحياء	NEWMORPH
قرد	قِرْد
قردا	قِرْد
قردة	قِرْد
قردد	NEWMORPH
قردوس	NEWMORPH
قردى	قِرْدِيّ,قِرْد
قرزاحل	NEWMORPH
قرس	قَرِس-َ,قَرَّس
قرشفة	NEWMORPH
قرص	قَرَص,قَرَّص,قُرْص,قُرْصَة,قَرْص
قرطاجنة	قَرْطاجَنَّة
قرطبة	قُرْطُبَة
قرطسا	قَرْطَس
قرطمة	قِرْطِم,قَرْطَم
قرظ	قَرَّظ
قرظان	NEWMORPH
قرعد	NEWMORPH
قرقد	NEWMORPH
قرقر	قَرْقَر
قرقرة	قَرْقَرَة,قَرْقَر
قرقرى	NEWMORPH
قرقسان	NEWMORPH
قرقشندة	NEWMORPH
قرقشونة	NEWMORPH
قرقنة	قَرَق
قرقوب	NEWMORPH
قرقونس	NEWMORPH
قرقية	NEWMORPH
قرقيسياء	NEWMORPH
قركان	NEWMORPH
قرلون	NEWMORPH
قرما	قَرْم,قَرَم-ِ,قُرْمَة
قرماسين	NEWMORPH
قرمان	قَرْم
قرمد	قَرْمَد
قرمس	NEWMORPH
قرملاء	NEWMORPH
قرمونية	NEWMORPH
قرميسين	NEWMORPH
قرن	قِرْن,قَرْن,قَرَن-ِ,قُرْنَة
قرنطاؤوس	NEWMORPH
قرنفيل	NEWMORPH
قرنين	قَرْن
قرورى	NEWMORPH
قروقد	NEWMORPH
قرى	قَرْيَة,قِرَى,قَرّ,قَرَى-ِ
قرياض	NEWMORPH
قريان	NEWMORPH
قرير	قَرِير
قريس	NEWMORPH
قريش	قُرَيْش
قزح	قُزَح,قَزَّح
قزدار	NEWMORPH
قزغند	NEWMORPH
قزقز	قَزْقَز
قزمان	قَزِم,قَزَم
قزوين	قَزْوِين
قزوينك	قَزْوِين
قسا	قَسا,قَسّ
قساء	قِسِّيس
قساس	قَسّاس
قسام	قَسّام,قَسام
قسامل	NEWMORPH
قسر	قَسْر,قَسَر-ِ
قسطانة	NEWMORPH
قسطرة	قَسْطَرَة,قَسْطَر
قسطل	قَسْطَل
قسطلة	قَسْطَل
قسطنطينية	قُسْطَنْطِينِيّ,قُسْطَنْطِينِيَّة
قسطون	قِسْط
قسطيلية	قَسْطِيلِيّ
قسمل	NEWMORPH
قسنطانة	NEWMORPH
قسنطينية	قُسَنْطِنِيّ
قسي	قَسَّى,قَسِيّ,قَسّ
قسياء	NEWMORPH
قسياثا	NEWMORPH
قسيان	قَسِيّ
قسين	قَسَّى,قَسّ
قشاب	NEWMORPH
قشار	NEWMORPH
قشارة	NEWMORPH
قشاقش	NEWMORPH
قشام	NEWMORPH
قشان	NEWMORPH
قشاوة	NEWMORPH
قشب	قَشِيب,قَشَب
قشبرة	NEWMORPH
قشتالة	قَشْتالَة
قشتليون	NEWMORPH
قشمير	NEWMORPH
قصاص	قُصاص,قاصّ,قَصّاص,قِصاص
قصاصة	قُصاص,قُصاصَة,قاصّ,قَصّاص,قِصاص
قصائرة	NEWMORPH
قصة	قَصّ,قِصَّة,قَصَّة
قصدار	NEWMORPH
قصران	قَصْر
قصم	قَصَم-ِ,قَصِم
قصوان	NEWMORPH
قصيص	NEWMORPH
قصيمة	قَصِيم
قضاقضة	NEWMORPH
قضة	قَضّ
قضين	قَضَى-ِ,قَضَّى
قط	قِطّ,قَطّ
قطا	قِطّ,قَطاً,قَطّ
قطاب	NEWMORPH
قطابة	NEWMORPH
قطاتان	قَطاً
قطار	قَطْر,قِطار
قطاقط	NEWMORPH
قطالية	NEWMORPH
قطان	قاطِن,قِطّ,قَطّان,قَطّ
قطانة	قاطِن,قَطّان
قطانقان	NEWMORPH
قطر	قَطَر,قُطْر,قَطْر,قِطار,قَطَّر
قطربل	NEWMORPH
قطرسانية	NEWMORPH
قطرغاش	NEWMORPH
قطرونية	NEWMORPH
قطفتا	قَطَّف,قَطَف-ِ
قطن	قُطْن,قَطَّن,قَطَن
قطنا	قُطْن,قِطّ,قَطَّن,قَطّ,قَطَن
قطوان	NEWMORPH
قطوطى	NEWMORPH
قطيات	NEWMORPH
قطية	قِطّ,قَطّ
قطيعة	قَطِيعَة,قَطِيع
قطين	قِطّ,قَطّ
قعاس	NEWMORPH
قعرة	قَعْرَة,قَعْر,قَعَّر
قعسان	NEWMORPH
قعسرى	NEWMORPH
قعمعم	NEWMORPH
قعيقعان	NEWMORPH
قفصة	قَفَص
قفط	NEWMORPH
قفل	قَفَل,قُفْل,قَفَل-ِ,قَفَّل
قفوص	NEWMORPH
قفير	قَفِير
قفيل	NEWMORPH
قلاب	قَلّاب
قلات	NEWMORPH
قلاخ	NEWMORPH
قلاط	NEWMORPH
قلب	قَلَب-ِ,قَلْب,قَلَّب
قلبين	قَلْب
قلتة	قَلا,قال,قُلَّة,قِلَّة,قَلَى-ِ,قَلَّة
قلحاح	NEWMORPH
قلري	NEWMORPH
قلز	NEWMORPH
قلس	قَلَّس,قَلْس,قَلَس-ِ
قلسانة	NEWMORPH
قلشانة	NEWMORPH
قلع	قِلْع,قَلَع-َ,قَلَّع
قلعة	قَلْعَة,قِلْع,قَلَع-َ,قَلَّع
قلعيت	NEWMORPH
قلفاو	NEWMORPH
قلمرية	NEWMORPH
قلمية	قَلَم,قَلَمِيّ
قلنة	قال
قلندوش	NEWMORPH
قلنسوة	قَلَنْسُوَة
قلهات	NEWMORPH
قلهاث	NEWMORPH
قلهرة	NEWMORPH
قلهى	NEWMORPH
قلهي	NEWMORPH
قلوذية	NEWMORPH
قلورية	NEWMORPH
قلوس	قَلْس
قلوسنا	قَلْس
قلونية	NEWMORPH
قليوش	NEWMORPH
قم	قَمّ
قمادى	NEWMORPH
قمار	قِمار
قمامة	قُمامَة
قمر	قَمَر-ِ,قَمَر,قَمِر-َ,قَمَّر
قمراطة	NEWMORPH
قمراو	NEWMORPH
قملان	قَمِل
قملى	قَمِل,قَمْل,قَمَل
قمن	قام,قَمِن
قمولة	NEWMORPH
قميز	NEWMORPH
قميع	NEWMORPH
قن	قِنّ,قُنّ
قنا	قَنا,قُنّ,قِنّ
قناء	NEWMORPH
قناة	قَناة,قَنَى-ِ,قَنا
قناد	NEWMORPH
قنادر	NEWMORPH
قنارز	NEWMORPH
قناطر	قَنْطَرَة,قَناطِر
قنبان	NEWMORPH
قنبة	قُنَّب,قِنَّب,قَنْب
قنبع	NEWMORPH
قنة	قُنَّة,قُنّ,قِنّ
قنتيش	NEWMORPH
قندابيل	NEWMORPH
قندستن	NEWMORPH
قندهار	قَنْدَهار
قنسرين	NEWMORPH
قنصل	قُنْصُل
قنع	قَنِع,قَنَّع,قَنَع,قَنِع-َ,قِناع,قِنْع
قنوان	قُنْو
قنوة	قَنَى-ِ,قُنْو,قُنْوَة,قَنا
قنوج	NEWMORPH
قنور	NEWMORPH
قنونى	قُنَّة,قَنَى-ِ,قَنا
قنوى	قُنْو
قني	قَنَى-ِ,قِنّ,قُنّ
قنيع	NEWMORPH
قنيلش	NEWMORPH
قنينات	قِنِّينَة
قها	قَها
قهاب	NEWMORPH
قهاد	NEWMORPH
قهج	NEWMORPH
قهجاورسان	NEWMORPH
قهد	NEWMORPH
قهقور	NEWMORPH
قهقوه	NEWMORPH
قهندز	NEWMORPH
قهوان	NEWMORPH
قو	NEWMORPH
قواديان	NEWMORPH
قوارير	قارُورَة
قوان	NEWMORPH
قوبنجان	NEWMORPH
قودم	NEWMORPH
قور	قَوَّر,قارَة
قورا	قَوَّر,قارَة
قوران	NEWMORPH
قورة	قَوَّر,قارَة
قورس	NEWMORPH
قورى	قارَة
قورية	NEWMORPH
قورين	NEWMORPH
قوس	قَوِس-َ,قَوَّس,قَوْس
قوسان	قَوْس
قوسنيا	NEWMORPH
قوسى	قَوْس
قوص	NEWMORPH
قوصرة	NEWMORPH
قوصقم	NEWMORPH
قوط	قُوط,قَوْط
قوفا	NEWMORPH
قوفيل	NEWMORPH
قولو	NEWMORPH
قومس	قَوْمَس
قومسان	NEWMORPH
قومسة	قَوْمَس
قون	قُونَة
قونجة	NEWMORPH
قونكة	NEWMORPH
قونية	قُونِيَة
قوهذ	NEWMORPH
قوهستان	NEWMORPH
قوهيار	NEWMORPH
قوي	قَوِيّ,قَوَّى,قَوِي-َ,قُوَّة,قَوَى
قويق	قُوَيْق
قوين	قَوَّى,قَوِي-َ
قيا	قِياء
قياض	قِياض
قيال	NEWMORPH
قيذوق	NEWMORPH
قيربون	NEWMORPH
قيس	قَيَّس,قَيْس
قيسارية	NEWMORPH
قيسرون	NEWMORPH
قيسون	NEWMORPH
قيشاطة	NEWMORPH
قيطون	NEWMORPH
قيظ	قَيْظ
قيظان	NEWMORPH
قيقان	قاق
قيلة	قَيَّل,قَيْل
قيلوية	NEWMORPH
قيمر	NEWMORPH
قيمون	NEWMORPH
قين	قَيْن
قينان	قِينان
قينقاع	NEWMORPH
قينية	NEWMORPH
قيوان	NEWMORPH
كابة	آب,آبِه,أَبَه
كابل	كابُل,إِبْل,كابِل,كابَل
كابلستان	NEWMORPH
كاث	NEWMORPH
كاج	NEWMORPH
كاجر	أُجْرَة,أَجْر
كاجغر	NEWMORPH
كاخ	أَخ
كاخشتوان	NEWMORPH
كاذة	NEWMORPH
كار	كار,آر
كارة	كار,كارِه,آر
كارز	كارِز,رُزّ,أَرْز
كارزن	NEWMORPH
كارزين	كارِز
كاريان	NEWMORPH
كازر	أَزْر,إِزار
كازرون	NEWMORPH
كازه	أَزّ
كازياركاه	NEWMORPH
كاسان	NEWMORPH
كاسكان	إِسْكان
كاسن	آسِن,أَسَنّ
كاشان	NEWMORPH
كاشغر	NEWMORPH
كاشكن	NEWMORPH
كاظمة	كاظِم,كاظِمَة
كافر	كافِر
كافل	آفِل,كافَل,كافِل
كاكدم	NEWMORPH
كاكس	إِكْس
كالخسان	NEWMORPH
كالف	آلِف,أَلَفّ,آلَف,إِلْف,أَلِف,أَلْف
كالوان	لَوْن,أَلْوان
كالينكوس	NEWMORPH
كامخية	NEWMORPH
كامدذ	NEWMORPH
كامس	أَمْس,أَمَسّ
كانم	NEWMORPH
كاهون	أَهْوَن
كاوار	أُوار
كاوخواره	NEWMORPH
كاودان	NEWMORPH
كاوردان	NEWMORPH
كاوزن	NEWMORPH
كبا	كَبا,كَبّ
كباب	باب,كَباب
كباث	NEWMORPH
كبد	كَبِد,كَبَّد,بُدّ,كَبَد
كبر	بُرّ,بَرّ,بِرّ,كِبْر,كِبَر,كُبْر,كَبَّر,كَبَر
كبشات	NEWMORPH
كبشة	كُبْشَة,كَبْشَة,كَبَش,كَبْش
كبكب	كَبْكَب
كبندة	بَنْدا,بَنْد
كبوذ	NEWMORPH
كبوذان	NEWMORPH
كبوذنجكث	NEWMORPH
كبيب	بِيانُو
كبيرة	بِيرَة,بِيرا,كَبِير,كَبِيرَة
كبيس	كَبِيس
كبيسة	بَيْسَة,كَبِيس
كبيش	NEWMORPH
كبين	بِين,بَيْنَ,بَيِّن
كتانان	NEWMORPH
كتانة	كَتّان
كتد	NEWMORPH
كتلة	كَتَّل,تَلَّة,كَتْل,كَتَل,تَلّ,كُتْلَة
كتم	كَتْم,كَتَّم,كَتَم
كتمان	كِتْمان
كتمة	كَتْم,كَتَّم,كَتَم
كتمى	كَتْم
كتيب	كُتَيِّب
كتيبة	كُتَيِّب,كَتِيبَة
كتيفة	NEWMORPH
كث	كَثّ-ِ,كَثّ
كثاب	NEWMORPH
كثابة	NEWMORPH
كثب	كَثَب,كَثِيب
كثبة	كَثَب,كَثِيب
كثه	كَثّ
كثوة	ثُوَّة
كج	NEWMORPH
كجه	NEWMORPH
كحكب	NEWMORPH
كحل	حِلّ,كَحِل,كَحَّل,كُحْل,حَلّ
كحلان	كَحِل
كحلة	حِلَّة,كُحْلَة,حِلّ,كَحِل,كَحَّل,كُحْل,حُلَّة,حَلَّة,حَلّ
كحيلة	حِيلَة,حَيْل,كَحِيل
كداء	داء
كدادة	دادَة
كدال	دالّ,دال
كدد	كَدَّد
كدر	كَدَر,كَدُر,كَدَّر,دَرّ,دُرّ,كَدِر,كَدِر-َ
كدراء	أَكْدَر,دُرّاء
كدك	دَكّ,كَدّ
كدم	دَم,دَمّ,كَدْم,كَدَم
كدن	كاد-َ,كاد-ِ
كدى	كَدَى-ِ,كَدّ,كَدَّى,كَدْي
كدي	كَدَى-ِ,كَدّ,كَدَّى,كَدْي
كذج	NEWMORPH
كر	كَرّ
كراء	كِراء,راء,رائِي
كراثا	كَرّاث
كراجك	كَراج
كراش	NEWMORPH
كراع	كُراع,راع,راعِي
كراغ	NEWMORPH
كران	NEWMORPH
كرانطه	NEWMORPH
كربلاء	كَرْبَلاء
كرتم	رَتَم-َ
كرث	كَرَث,رَثّ
كرج	رَجّ,كُرْج
كرجة	رَجّ,كُرْج,رَجَّة
كرجن	NEWMORPH
كرخايا	NEWMORPH
كرخيني	NEWMORPH
كرد	كُرْدِيّ,رَدّ
كرداح	NEWMORPH
كردر	NEWMORPH
كردشير	NEWMORPH
كرديز	NEWMORPH
كرزبان	NEWMORPH
كرزين	كَرْز,رَزِين
كرسفة	رَسْف,كَرْسَفَة,كَرْسَف
كرسكان	NEWMORPH
كرسي	كُرْسِيّ
كرعة	كَرَع-َ,كَرْع
كرفة	رِفْه,رَفّ
كرك	كُرْك,كَرّ
كركان	NEWMORPH
كركانج	NEWMORPH
كركر	كَرْكَر
كركسكوه	NEWMORPH
كركنت	NEWMORPH
كركور	كَرْكُور
كركويه	NEWMORPH
كركى	كُرْكِيّ,كُرْك
كركين	رَكِين
كرم	كَرَم,كَرَّم,كَرْم,رَمّ,كَرُم
كرماطة	NEWMORPH
كرمان	رُمّان
كرمة	كَرَم,كَرَّم,كَرْم,كُرْمَة,رَمّ,رِمَّة,رُمَّة
كرمجين	NEWMORPH
كرمل	رَمْل,كَرْمَل
كرمليس	NEWMORPH
كرملين	كرِمْلِين
كرمى	كَرَم,رَمْي,كَرْم,كَرَمِيّ,كَرْمِيّ,رَمّ
كرمية	رَمْي,رَمْيَة,رَمِيَّة
كرمينية	NEWMORPH
كرنبا	NEWMORPH
كرنبة	كُرُنْب
كرنة	رَنَّة
كرنك	كَرْنَك,كرَنْك
كره	كَرِه-َ,كَرْه,كَرُه,كَرَّه,كَرِه,كَرّ,كُرَة,كُرْه
كروان	كَرَوان,رُوان
كروخ	NEWMORPH
كريب	رَيْب,رِيبَة
كريت	كِرِيت,كَرِي-َ,كَرَى-ِ
كرين	كَرِي-َ,كَرَى-ِ
كريون	NEWMORPH
كزد	NEWMORPH
كزك	كَزّ,كُزّ
كزمان	زَمان
كزنا	كَزّ,زِنَى,كُزّ
كزنة	زِنَة,زَنّ
كزه	كَزّ,كُزّ
كزيريم	NEWMORPH
كس	NEWMORPH
كساب	NEWMORPH
كسادن	سادِن
كسبة	سَبّ,كُسْبَة,سُبَّة,كَسْب,كَسَب-ِ,سَبَّة,كَسَّب,سَبَه
كستانة	ساتان
كسف	كَسْف,كَسَف-ِ
كسفة	سَفَه,كَسْف,كَسَف-ِ
كسكر	سُكْر,سُكَّر
كسير	سِيرَة,سَيْر,كَسِير
كش	كَشّ-ِ
كشاف	شافِي,كَشّاف
كشانية	NEWMORPH
كشب	شَبّ
كشبى	شَبّ,شَباً
كشت	كَشّ-ِ,شَتّ
